team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Wichita State,South Florida,82,77,Wichita State,6,8,76,69,Wichita State
UCF,South Florida,61,68,South Florida,7,7,54,61,South Florida
Tulsa,South Florida,61,51,Tulsa,7,3,54,48,Tulsa
Tulane,South Florida,62,59,Tulane,7,6,55,53,Tulane
South Florida,UCF,65,81,UCF,5,9,60,72,UCF
South Florida,Temple,83,76,South Florida,9,10,74,66,South Florida
Temple,South Florida,65,47,Temple,11,7,54,40,Temple
UCF,Temple,55,62,Temple,7,9,48,53,Temple
Temple,Tulane,65,57,Temple,8,7,57,50,Temple
Tulsa,Temple,67,76,Temple,7,7,60,69,Temple
Tulane,Temple,81,64,Tulane,8,6,73,58,Tulane
Temple,Wichita State,67,70,Wichita State,3,9,64,61,Temple
Temple,Tulsa,66,72,Tulsa,7,6,59,66,Tulsa
Lamar,Tulane,57,66,Tulane,3,10,54,56,Tulane
Southern Miss,Tulane,38,58,Tulane,5,4,33,54,Tulane
Arkansas-Pine Bluff,Tulane,56,67,Tulane,6,4,50,63,Tulane
Grambling,Tulane,65,77,Tulane,9,14,56,63,Tulane
Tulane,Wichita State,67,75,Wichita State,4,10,63,65,Wichita State
Cincinnati,Tulane,64,61,Cincinnati,6,3,58,58,Wichita State
Tulane,Tulsa,58,48,Tulane,8,4,50,44,Tulane
Tulane,UCF,49,53,UCF,5,10,44,43,Tulane
UCF,Tulane,84,81,UCF,14,11,70,70,Tulane
Tulsa,TCU,65,70,TCU,4,11,61,59,Tulsa
South Carolina,Tulsa,69,58,South Carolina,9,4,60,54,South Carolina
UT Arlington,Tulsa,64,79,Tulsa,10,8,54,71,Tulsa
Wichita State,Tulsa,69,65,Wichita State,10,8,59,57,Wichita State
Northwestern State,Tulsa,55,82,Tulsa,7,9,48,73,Tulsa
SW Christian Univ,Tulsa,45,102,Tulsa,6,11,39,91,Tulsa
Tulsa,Wichita State,53,72,Wichita State,4,11,49,61,Wichita State
UCF,Tulsa,65,58,UCF,13,8,52,50,UCF
Auburn,UCF,55,63,UCF,7,7,48,56,UCF
UCF,Michigan,58,80,Michigan,5,9,53,71,Michigan
UCF,Florida State,86,74,UCF,9,10,77,64,UCF
UCF,Wichita State,88,93,Wichita State,6,10,82,83,Wichita State
Wichita State,UCF,61,60,Wichita State,7,8,54,52,Wichita State
UCF,Tulane,84,81,UCF,14,11,70,70,UCF
Oral Roberts,Wichita State,80,85,Wichita State,13,9,67,76,Wichita State
Missouri,Wichita State,72,62,Missouri,6,7,66,55,Missouri
Oklahoma State,Wichita State,67,64,Oklahoma State,7,5,60,59,Oklahoma State
